Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2018,Victor Martinez,DET,86,326,299,69,55,10,0,4,16,29,22,3,32,1,4,0,15,0,0,0.23076923,393
2018,Adrian Beltre,TEX,65,261,231,66,50,11,1,4,20,26,21,2,55,3,6,0,8,0,0,0.285714285,639
2018,Todd Frazier,NYM,61,260,226,49,31,8,0,10,30,32,27,0,58,2,5,0,9,5,1,0.216814159,785
2018,Albert Pujols,LAA,86,368,347,87,56,15,0,16,36,52,18,2,52,2,1,0,10,0,0,0.250720461,1177
2018,Wilson Ramos,TBR,77,315,293,87,59,14,0,14,30,53,22,1,61,0,0,0,17,0,0,0.296928327,1433
2018,Joe Mauer,MIN,65,281,242,66,50,13,0,3,32,29,34,2,35,2,2,1,6,0,0,0.272727272,1857
2018,Jose Bautista,2 Tms,61,200,161,35,17,11,0,7,24,26,37,2,54,1,1,0,1,2,2,0.217391304,1887
2018,Adrian Gonzalez,NYM,53,187,169,40,29,5,0,6,15,26,15,3,34,1,2,0,5,0,0,0.23668639,1908
2018,David Peralta,ARI,88,378,344,97,60,17,4,16,43,53,29,3,81,4,1,0,8,2,0,0.281976744,2136
2018,Edwin Encarnacion,CLE,86,367,320,72,39,11,0,22,48,65,38,2,85,4,4,0,9,0,0,0.225,2151
2018,Carlos Santana,PHI,95,407,326,68,36,17,1,14,53,52,74,4,56,1,6,0,8,1,1,0.208588957,2396
2018,Nelson Cruz,SEA,81,333,288,77,44,10,1,22,39,55,33,4,65,11,1,0,10,1,0,0.267361111,2434
2018,Lucas Duda,KCR,54,218,197,46,30,8,1,7,19,26,13,0,63,7,1,0,3,0,0,0.233502538,2502
2018,Yonder Alonso,CLE,82,336,302,78,51,14,0,13,39,53,30,1,72,1,3,0,6,0,0,0.258278145,2530
2018,Zack Cozart,LAA,58,253,224,49,29,13,2,5,29,18,19,0,42,7,3,0,7,0,0,0.21875,2616
2018,Manny Pina,MIL,56,214,194,44,28,9,1,6,26,16,15,1,40,4,1,0,10,0,0,0.226804123,2829
2018,Tommy Pham,STL,86,353,313,76,54,9,0,13,60,35,38,1,90,1,1,0,9,9,6,0.242811501,2967
2018,Mitch Moreland,BOS,73,286,252,70,40,15,4,11,43,46,31,1,59,0,3,0,8,1,0,0.277777777,3086
2018,Robinson Chirinos,TEX,69,263,225,47,23,12,1,11,27,37,26,0,100,11,1,0,4,1,0,0.208888888,3142
2018,Shin-Soo Choo,TEX,90,416,348,102,64,20,0,18,54,43,62,2,91,4,1,1,6,3,0,0.293103448,3174
2018,Charlie Culberson,ATL,64,179,165,43,26,11,2,4,26,21,13,1,44,1,0,0,3,3,1,0.26060606,3298
2018,Matt Joyce,OAK,63,226,192,39,23,9,0,7,30,13,30,1,51,1,2,1,2,0,2,0.203125,3353
2018,Ryan Braun,MIL,71,255,234,55,31,13,1,10,31,35,17,2,55,0,3,0,5,7,3,0.235042735,3410
2018,Anthony Rizzo,CHC,82,372,317,78,51,15,0,12,38,61,37,6,46,12,6,0,7,4,2,0.246056782,3473
2018,Eric Hosmer,SDP,94,407,370,92,58,23,1,10,41,41,37,6,92,0,0,0,12,4,3,0.248648648,3516
2018,Eric Thames,MIL,50,183,160,40,19,6,2,13,29,28,21,3,53,2,0,0,2,5,0,0.25,3711
2018,Josh Reddick,HOU,75,279,248,64,45,10,0,9,40,29,28,1,44,0,2,1,4,5,1,0.258064516,3892
2018,Dexter Fowler,STL,74,274,239,42,27,8,0,7,32,26,29,0,61,3,3,0,2,3,2,0.175732217,4062
2018,Michael Brantley,CLE,84,372,341,105,67,25,1,12,55,56,25,0,31,2,4,0,10,6,3,0.307917888,4106
2018,Gorkys Hernandez,SFG,80,283,260,72,49,11,1,11,36,30,17,1,74,2,2,2,7,4,2,0.276923076,4146
2018,Joey Votto,CIN,95,422,342,99,67,21,2,9,55,50,73,3,63,6,1,0,12,1,0,0.289473684,4314
2018,Jed Lowrie,OAK,94,406,362,103,61,25,1,16,43,62,40,0,80,2,2,0,3,0,0,0.284530386,4418
2018,Starlin Castro,MIA,96,421,385,112,82,22,1,7,58,37,30,1,78,0,6,0,11,4,1,0.29090909,4579
2018,Russell Martin,TOR,63,253,207,37,27,4,0,6,24,17,42,0,60,4,0,0,4,0,2,0.178743961,4616
2018,Curtis Granderson,TOR,76,261,223,52,28,14,1,9,32,28,34,0,78,3,0,1,2,1,1,0.233183856,4747
2018,Jarrod Dyson,ARI,67,237,206,39,31,4,2,2,29,12,27,2,34,0,1,3,3,16,3,0.189320388,4866
2018,Carlos Gomez,TBR,76,305,273,59,38,11,2,8,30,23,19,0,78,12,0,1,5,6,3,0.216117216,4881
2018,Mike Moustakas,KCR,91,389,354,88,50,18,1,19,42,58,26,3,60,5,4,0,10,3,0,0.24858757,4892
2018,Ender Inciarte,ATL,91,405,365,88,67,13,2,6,52,34,33,1,55,5,1,1,4,23,8,0.24109589,4922
2018,Jason Heyward,CHC,77,305,274,78,53,16,3,6,46,41,25,1,34,1,2,2,4,0,1,0.284671532,4940
2018,Giancarlo Stanton,NYY,94,416,371,103,61,18,1,23,58,55,35,3,130,6,4,0,10,3,0,0.277628032,4949
2018,Asdrubal Cabrera,NYM,92,380,349,98,60,20,1,17,44,52,28,1,74,1,2,0,12,0,0,0.280802292,4962
2018,Luis Valbuena,LAA,83,268,250,51,34,8,0,9,21,30,15,1,91,1,2,0,2,2,0,0.204,4969
2018,Alex Gordon,KCR,77,304,273,66,50,10,0,6,26,17,24,2,66,7,0,0,5,4,1,0.241758241,5209
2018,Justin Upton,LAA,94,404,347,87,58,10,0,19,50,54,47,1,111,5,5,0,9,5,0,0.250720461,5222
2018,Cameron Maybin,MIA,88,258,227,55,41,11,1,2,17,18,28,1,50,1,2,0,3,8,4,0.242290748,5223
2018,Jon Jay,2 Tms,92,414,368,102,82,14,3,3,54,30,26,0,67,14,2,4,9,4,3,0.277173913,5227
2018,Justin Turner,LAD,47,189,163,42,30,7,0,5,21,19,21,1,20,4,1,0,8,1,1,0.257668711,5235
2018,Robbie Grossman,MIN,77,272,238,61,42,14,1,4,28,29,30,0,58,0,3,1,1,0,0,0.256302521,5254
2018,Francisco Cervelli,PIT,60,235,189,46,26,8,3,9,26,36,34,1,48,9,3,0,4,1,2,0.243386243,5275
2018,Aaron Hicks,NYY,76,318,269,67,36,13,2,16,46,44,41,0,62,2,4,2,1,8,1,0.249070631,5297
2018,Brandon Crawford,SFG,93,372,329,96,62,22,2,10,42,39,33,11,74,6,4,0,6,3,5,0.291793313,5343
2018,Yangervis Solarte,TOR,92,397,365,88,54,18,0,16,43,48,28,1,57,2,2,0,19,1,1,0.24109589,5352
