Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2021,Albert Pujols,2 Tms,107,296,275,65,45,3,0,17,29,50,14,3,45,5,2,0,14,2,0,0.236363636,1177
2021,Miguel Cabrera,DET,130,526,472,121,90,16,0,15,48,75,40,0,118,5,9,0,21,0,0,0.256355932,1744
2021,David Peralta,ARI,149,538,487,126,80,30,8,8,57,63,46,3,92,3,2,0,9,2,1,0.258726899,2136
2021,Carlos Santana,KCR,158,659,565,121,87,15,0,19,66,69,86,3,102,3,5,0,12,2,0,0.214159292,2396
2021,Nelson Cruz,2 Tms,140,584,513,136,82,21,1,32,79,86,51,10,126,7,9,0,14,3,0,0.265107212,2434
2021,Manny Pina,MIL,73,208,180,34,15,6,0,13,27,33,22,0,38,5,1,0,4,0,0,0.188888888,2829
2021,Tommy Pham,SDP,155,561,475,109,68,24,2,15,74,49,78,3,128,4,4,0,10,14,6,0.229473684,2967
2021,Mitch Moreland,OAK,80,252,229,52,30,11,1,10,28,30,18,0,58,2,3,0,5,0,0,0.227074235,3086
2021,Charlie Culberson,TEX,88,271,247,60,38,15,2,5,23,22,17,1,64,2,1,4,3,7,1,0.242914979,3298
2021,Anthony Rizzo,2 Tms,141,576,496,123,75,23,3,22,73,61,52,2,87,23,5,0,15,6,2,0.24798387,3473
2021,Eric Hosmer,SDP,151,565,509,137,97,28,0,12,53,65,48,2,99,5,2,1,13,5,4,0.269155206,3516
2021,Michael Brantley,HOU,121,508,469,146,106,29,3,8,68,47,33,1,53,5,1,0,11,1,0,0.311300639,4106
2021,Ryan Zimmerman,WSN,110,273,255,62,32,16,0,14,27,46,16,0,77,0,2,0,9,0,0,0.243137254,4220
2021,Joey Votto,CIN,129,533,448,119,59,23,1,36,73,99,77,6,127,4,4,0,7,1,0,0.265625,4314
2021,Jed Lowrie,OAK,139,512,457,112,70,28,0,14,55,69,49,1,108,2,4,0,8,0,0,0.245076586,4418
2021,Starlin Castro,WSN,87,346,315,89,66,20,0,3,25,38,26,1,62,0,4,0,6,0,1,0.282539682,4579
2021,Mike Moustakas,CIN,62,206,183,38,20,12,0,6,21,22,18,0,46,2,3,0,6,0,0,0.207650273,4892
2021,Jason Heyward,CHC,101,353,323,69,44,15,2,8,35,30,27,1,68,3,0,0,4,5,1,0.213622291,4940
2021,Giancarlo Stanton,NYY,139,579,510,139,85,19,0,35,64,97,63,1,157,3,3,0,22,0,0,0.272549019,4949
2021,Asdrubal Cabrera,2 Tms,110,352,309,71,43,21,0,7,34,42,36,1,80,3,4,0,8,1,0,0.229773462,4962
2021,Stephen Vogt,2 Tms,77,238,210,41,27,6,1,7,24,25,26,2,56,0,1,1,2,0,0,0.195238095,5000
2021,Josh Donaldson,MIN,135,543,457,113,61,26,0,26,73,72,74,2,114,4,8,0,22,0,0,0.24726477,5038
2021,Justin Upton,LAA,88,362,318,67,38,12,0,17,47,41,39,0,107,1,3,0,11,4,1,0.210691823,5222
2021,Justin Turner,LAD,151,612,533,148,99,22,0,27,87,87,61,0,98,12,6,0,12,3,0,0.277673545,5235
2021,Robbie Grossman,DET,155,671,557,133,84,23,3,23,88,67,98,3,155,8,6,2,8,20,5,0.238779174,5254
2021,Sandy Leon,MIA,81,220,202,37,28,5,0,4,15,14,12,0,65,3,2,1,2,0,0,0.183168316,5273
2021,Brandon Crawford,SFG,136,549,483,144,87,30,3,24,79,90,56,6,105,5,5,0,8,11,3,0.298136645,5343
2021,Freddie Freeman,ATL,159,695,600,180,122,25,2,31,120,83,85,15,107,8,2,0,11,8,3,0.3,5361
2021,Juan Lagares,LAA,96,327,309,73,45,20,2,6,39,38,12,0,76,1,1,4,8,1,2,0.236245954,5384
2021,Jose Altuve,HOU,146,678,601,167,103,32,1,31,117,83,66,3,91,4,6,1,9,5,3,0.277870216,5417
2021,Ji Man Choi,TBR,82,305,258,59,34,14,0,11,36,45,45,0,87,2,0,0,5,0,0,0.22868217,5452
2021,Marwin Gonzalez,2 Tms,90,307,276,55,36,14,0,5,30,28,20,0,78,9,1,1,8,3,2,0.199275362,5497
2021,Kyle Higashioka,NYY,64,211,193,35,15,10,0,10,20,29,17,0,59,0,1,0,4,0,0,0.18134715,5517
2021,Avisail Garcia,MIL,133,515,461,121,74,18,0,29,68,86,38,5,121,11,5,0,12,8,4,0.262472885,5760
2021,Wilmer Flores,SFG,139,436,389,102,67,16,1,18,57,53,41,0,56,3,3,0,11,1,0,0.262210796,5827
2021,Leury Garcia,CHW,123,474,415,111,80,22,4,5,60,54,41,0,97,4,5,9,12,6,2,0.267469879,5913
2021,Jean Segura,PHI,131,567,514,149,105,27,3,14,76,58,39,3,78,9,4,1,16,9,3,0.289883268,5933
2021,Didi Gregorius,PHI,103,408,368,77,46,16,2,13,35,54,25,1,67,8,7,0,8,3,0,0.20923913,6012
2021,Eduardo Escobar,2 Tms,146,599,549,139,80,26,5,28,77,90,48,1,124,1,1,0,3,1,0,0.253187613,6153
